City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Portel,BR,2021-01-17 02:34:15,-1.9356,-50.8211,75.09,87,38,2.89
181,Sauda,NO,2021-01-17 02:34:15,59.6506,6.3542,25.5,91,100,9.28
182,Lethem,GY,2021-01-17 02:34:15,3.3803,-59.7968,76.53,80,94,10.67
183,Kangavar,IR,2021-01-17 02:34:16,34.5043,47.9653,38.19,76,93,5.28
184,Sinnamary,GF,2021-01-17 02:34:16,5.3833,-52.95,78.26,83,76,13.11
185,Nouadhibou,MR,2021-01-17 02:25:44,20.931,-17.0347,62.6,29,100,17.27
186,Kedrovyy,RU,2021-01-17 02:34:16,56.1667,91.8167,14.0,73,0,4.47
187,Alexandria,EG,2021-01-17 02:34:16,31.2156,29.9553,57.2,72,0,12.66
188,Quatre Cocos,MU,2021-01-17 02:27:01,-20.2078,57.7625,79.0,83,40,8.05
189,Lagoa,PT,2021-01-17 02:27:04,39.05,-27.9833,61.09,97,100,17.63
190,Carnarvon,AU,2021-01-17 02:26:33,-24.8667,113.6333,96.8,41,95,17.27
191,Belmonte,BR,2021-01-17 02:34:17,-15.8631,-38.8828,77.0,78,20,8.05
192,Kikwit,CD,2021-01-17 02:34:17,-5.041,18.8162,71.26,88,100,1.36
193,Lebu,CL,2021-01-17 02:26:53,-37.6167,-73.65,57.45,83,0,18.41
194,Buarcos,PT,2021-01-17 02:34:18,40.166,-8.8768,46.0,93,0,3.44
195,Tsiroanomandidy,MG,2021-01-17 02:34:18,-18.7667,46.0333,70.39,94,66,2.44
196,Ovre Ardal,NO,2021-01-17 02:34:18,61.3167,7.8,14.68,75,95,5.57
197,Nea Kallikratia,GR,2021-01-17 02:34:18,40.3167,23.0667,32.0,59,20,25.32
198,Muros,ES,2021-01-17 02:26:14,42.7762,-9.0603,51.01,92,3,3.76
199,Imbituba,BR,2021-01-17 02:25:48,-28.24,-48.6703,80.6,83,75,11.5
200,Yondo,CO,2021-01-17 02:34:19,7.0062,-73.9097,73.89,93,34,1.9
201,Nanortalik,GL,2021-01-17 02:26:03,60.1432,-45.2371,24.28,94,100,3.62
202,Dingle,PH,2021-01-17 02:25:49,10.9995,122.6711,80.67,84,100,14.0
203,Ciudad Bolivar,VE,2021-01-17 02:34:19,8.1222,-63.5497,77.99,70,65,12.75
204,Waddan,LY,2021-01-17 02:26:45,29.1614,16.139,47.14,58,0,7.47
205,Kang,BW,2021-01-17 02:34:20,-23.6752,22.7876,72.9,31,95,10.2
206,Puerto Santander,CO,2021-01-17 02:34:20,8.3636,-72.4063,73.4,86,46,3.44
207,Agde,FR,2021-01-17 02:34:21,43.3108,3.4758,46.99,65,90,14.97
208,Walvis Bay,NA,2021-01-17 02:34:21,-22.9575,14.5053,66.99,88,0,2.3
209,Filadelfia,US,2021-01-17 02:23:05,39.9523,-75.1638,39.99,56,40,10.36
210,Lagos,NG,2021-01-17 02:25:15,6.5833,3.75,78.15,84,60,2.64
211,Sovetskiy,RU,2021-01-17 02:29:22,61.3614,63.5842,-4.54,92,100,5.3
212,Omboue,GA,2021-01-17 02:34:21,-1.5746,9.2618,76.96,88,94,6.89
213,Qasigiannguit,GL,2021-01-17 02:34:21,68.8193,-51.1922,15.8,45,32,20.71
214,Talcahuano,CL,2021-01-17 02:25:36,-36.7167,-73.1167,60.8,67,0,12.66
215,Harper,LR,2021-01-17 02:26:32,4.375,-7.7169,77.81,84,0,6.89
216,Souillac,MU,2021-01-17 02:25:37,-20.5167,57.5167,78.8,83,40,8.05
217,Muhos,FI,2021-01-17 02:34:23,64.808,25.9931,23.0,100,0,3.44
218,Itambe,BR,2021-01-17 02:34:23,-15.245,-40.6244,66.2,93,78,2.33
219,Dire,ML,2021-01-17 02:34:23,12.2833,-10.9667,64.06,25,8,0.47
220,Hirna,ET,2021-01-17 02:34:23,9.2167,41.1,53.91,48,11,2.13
221,Diffa,NE,2021-01-17 02:34:24,13.3154,12.6113,65.61,25,2,10.04
222,Sur,OM,2021-01-17 02:34:12,22.5667,59.5289,64.36,64,0,2.89
223,Nantucket,US,2021-01-17 02:31:14,41.2835,-70.0995,42.8,93,40,12.66
224,Maniitsoq,GL,2021-01-17 02:25:19,65.4167,-52.9,21.52,91,100,23.35
225,Haldia,IN,2021-01-17 02:34:24,22.0605,88.1097,67.91,42,19,6.13
226,Plock,PL,2021-01-17 02:34:20,52.5468,19.7064,6.8,78,75,12.66
227,Gera,DE,2021-01-17 02:34:25,50.8803,12.0819,26.01,62,100,5.28
228,Soller,ES,2021-01-17 02:34:25,39.7662,2.7152,51.01,93,0,10.18
229,Roslavl,RU,2021-01-17 02:34:25,53.9528,32.8639,0.39,93,100,5.77
230,Tarrafal,CV,2021-01-17 02:34:25,15.2833,-23.7667,69.8,78,40,19.57
231,Alghero,IT,2021-01-17 02:34:26,40.5589,8.3181,46.4,87,0,3.44
232,Ruwi,OM,2021-01-17 02:34:26,23.5996,58.5507,59.0,88,0,3.44
233,Ikom,NG,2021-01-17 02:34:26,5.9667,8.7063,72.18,93,95,1.05
234,Salinas,US,2021-01-17 02:34:27,36.6777,-121.6555,55.0,94,75,9.22
235,Ilo,PE,2021-01-17 02:34:27,-17.6394,-71.3375,69.26,78,80,2.75
236,Surt,LY,2021-01-17 02:26:49,31.2089,16.5887,57.15,68,0,20.96
237,Krutinka,RU,2021-01-17 02:34:27,56.0055,71.5113,11.73,96,83,15.03
238,Havelock,US,2021-01-17 02:32:35,34.8791,-76.9013,44.01,80,1,9.22
239,Bardiyah,LY,2021-01-17 02:34:28,31.7561,25.0865,53.92,80,1,19.82
240,Ilulissat,GL,2021-01-17 02:33:48,69.2167,-51.1,15.8,45,3,20.71
241,Saint-Georges,GD,2021-01-17 02:33:27,12.0564,-61.7485,75.2,83,20,6.91
242,Maceio,BR,2021-01-17 02:34:29,-9.6658,-35.7353,73.4,100,75,11.5
243,Husavik,IS,2021-01-17 02:34:29,66.0449,-17.3389,32.0,100,20,2.3
244,Sezemice,CZ,2021-01-17 02:34:30,50.0665,15.8527,24.8,68,90,11.5
245,Puerto Baquerizo Moreno,EC,2021-01-17 02:34:30,-0.9,-89.6,73.99,91,56,7.61
246,Sao Francisco De Assis,BR,2021-01-17 02:34:31,-29.5503,-55.1311,73.76,90,99,16.2
247,Shelburne,CA,2021-01-17 02:34:31,44.0787,-80.2041,30.99,94,100,15.19
248,Natal,BR,2021-01-17 02:21:22,-5.795,-35.2094,80.6,69,40,13.8
249,Vila Franca Do Campo,PT,2021-01-17 02:26:23,37.7167,-25.4333,61.0,94,75,12.66
250,Takoradi,GH,2021-01-17 02:33:12,4.8845,-1.7554,78.3,86,83,4.9
